id,comment_text,toxic,severe_toxic,obscene,threat,insult,identity_hate
18,""" 

 : You asked multiple questions and complained that a candidate who hadn't answered them was passing; you were pulled up on it; you started an RfC asking if multiple questions should be barred; you responded, when questioned on this, that you were annoyed that the candidate didn't respond favourably to being asked multiple questions. Those are the facts, and it is disingenuous to suggest that your actions prior to raising said RfC have nothing to do with it. I don't consider a three-sentence response to be """"aggressive"""": blunt, certainly, but it wouldn't have benefited anyone for me to have made the same point in more words.   """,0,0,0,0,0,0
19,"Image:Riggs629.jpg
I have tagged Image:Riggs629.jpg as , because it does not provide a fair use rationale.  If you believe the image to be acceptable for fair use according to Wikipedia policy, please provide a rationale explaining as much, in accordance with the fair use rationale guideline, on the image description page.  Please also consider using  or one of the other tags listed at Wikipedia:Image copyright tags#Fair_use.  Thank you.",0,0,0,0,0,0
20,"==Table re-formatting== 
 I started merging the 2 tables per event into one today, and standardizing their formatting. Am about 1/2-way through (did 50 free through 100 breast so far). Will be back to finish the rest. -",0,0,0,0,0,0
21,:Also agree...poor move.,0,0,0,0,0,0
22,"Sockpuppet investigation. 

[Wikipedia:Sockpuppet investigations/Valvehueme] I have reported you for suspected abuse of multiple accounts.",0,0,0,0,0,0
23,""" 
 :::No you are quite right, in the field of stats that is correctly called """"bias"""". -   """,0,0,0,0,0,0
24,"""

What about the many readers who will be frustrated by not having a direct link to number-one films in countries other than these? The """"English"""" in """"English Wikipedia"""" means that this encyclopedia is written for anyone who can read English. There are more such people in Asia than in North America, more in continental Europe than in the United Kingdom, and more in Africa than in Australasia. And, even if that was not the case, why assume that readers in a particular country will be more interested in articles about their own country than in those about other countries? I read an encyclopedia to broaden my knowledge, not to read about parochial matters, and I would hope that the same goes for other readers.   """,0,0,0,0,0,0
25,"List ommissions 

 Travis Henry
 Cadillac Anderson
 Jody Morris

An probably a whole bunch of people in Category:Sports controversies and its subcats.",0,0,0,0,0,0
26,"Hi,

Taekkyeon is a sensitive topic because many people want to learn it and not enough qualified teachers to disperse the knowledge. If you truly desire to learn Taekkyeon there are only two masters in the world who know the complete system. One is in S. Korea, he doesn't teach many people. The other lives in Los Angeles, CA. The truth is, you have to either move to Los Angeles or S. Korea if you want to learn the Taekkyeon as taught by GM Song and Im Ho. 
I will tell you this. GM Song was a bodyguard of the remaining Choson Dynasty family memebers. The top Taekkyeon masters always defended the king, They were in the military. Taekkyeon was a military artform first and a civil cultural game for children and adults later. By calling Taekkyeon a civil martial art game is demoting it from its real status. However, Taekkyeon is still a Holistic Martial art with many healing aspects and a civil game for children and adults. Its all three!
Please consider me a friend. Which Taekkyeon association are you affiliated with?",0,0,0,0,0,0
27,"Murtuza Didn't get the memo 

This is an Cellular IP that is randomly assigned and changes frequently (1 Day at best). Messages are likely to not be received if they are posted more than a couple of hours within the last post.",0,0,0,0,0,0
28,"This is a non-issue, and this discussion is completely outrageous.",0,0,0,0,0,0
29,"""

 """"...at first cleansing the countryside"""" 

""""In the six months following Stirling Bridge, Wallace led a force to York, at first cleansing the countryside...""""

This is such a touching reference to genocide that I cannot let it pass. If you're going to write history then you're going to have to stop making weasel comments excusing wanton killing of civilians whose only crime was to be born English. If I remember rightly, Mel Gibson's """"Braveheart"""" did the same trick of mentioning this ethnic cleansing as a segue between scenes. It's just as morally reprehensible as the English doing this to the Scots, or Serbs doing this to Croats or...you get the idea.

On the other hand, if you're writing blatent propaganda then this is as good a place as any. I'm sure that Wikipedia's admins will support you, because they don't know any better.
 """,0,0,0,0,0,0
30,"== File:Elyse2.jpg listed for deletion == 
 An image or media file that you uploaded or altered, File:Elyse2.jpg, has been listed at Wikipedia:Files for deletion. Please see the discussion to see why this is (you may have to search for the title of the image to find its entry), if you are interested in it not being deleted.",0,0,0,0,0,0
31,Speedy tag removed as it establishes notability. My apologies for the speedy.,0,0,0,0,0,0
32,"Elliott Castro 

What stops you from adding the sources yourself? It seems that you just want to be a deletionist rather than improve Wikipedia. You need to get familiarized with Wikipedia's ignore all rules policy. Be constructive, not destructive. You have the option to improve Wikipedia but you are choosing the wrong path and wrong actions. Here, let me help you out. You can also use an online translator such as Google's in case you don't speak Spanish. There's no reason whatsoever to propose a deletion on this article. Ball is in your court.",0,0,0,0,0,0
33,"And it was a perfectly valid question as Brad has this habit of turning up, waving his wand and then disappearing without trace.  This block is punitive and pointless.",0,0,0,0,0,0
34,"""

 Unai Emery - Part 2 

Of course, you had every right to compose intro of this article after my """"raid"""", because when I wrote it Sevilla was not yet qualified to the final, I had no business writing that based on a hunch. All in all, though, marvellous European week, Real Madrid out (in Portuguese footy forums, the Ronaldo lovers have yet to acknowledge a poor/subpar performance from this player, yesterday was another one in the eyes of anyone who is not blinded by the preternatural light that emanates from this superior being and actually KNOWS how to watch a game of football!), Napoli out, Fiorentina out (the latter fielded ZERO Italian players both hands combined, in the first leg including three subs!), from BAY-BAR I had no preference whatsoever.

Of course, you know for who (the vast majority of) my countrymen are now rooting in the CL final, no? I'll give you a club, starts with a """"J""""... Best regards 84.90.219.128  """,0,0,0,0,0,0
35,""" 

 ::Merge carried out. I will incorporate some of the content from the old Frontal lobe injury page. But it was all poorly referenced (non-academic websites) so it will mostly be a re-write/new additions. """"Damage to the Frontal Lobe"""" page now redirects to here.  """,0,0,0,0,0,0
36,"Love,
                           Kaitlyn 
                            Purvis",0,0,0,0,0,0
37,"""
""""I hope I can rely on you. Thanks. SpongerJack.  """" He did. Same one who's been commenting above. See SpongerJack's user talk page for the other Checkuser confirmed socks. BH """,0,0,0,0,0,0
38,"""No, you are censoring Jewish human rights groups and whitewashing an article about Judeophobic ethnic cleansing committed by Arabs while at the same time adding Arab propaganda denying the real Nakba, the Jewish Nakba, in order to promote your Arab nationalist agenda. Wikipedia already has enough problems with its Israelophobic bias, so people like you and Zero0000 should stay off this article. I recognize that you two regularly write Arab nationalist propaganda for Wikipedia. And how is this an """"Arab conspiracy""""? The Arabs make no attempt to conceal their desire to """"kick the Jews into the sea"""" and destroy Israel. Denying this fact is equivalent to Holocaust denial.

""",0,0,0,0,0,0
39,"==Category== 
 As far as I could I put the articles now in the subcategories and also created some new subcategories Category:Districts of Iraq. Cat. Baghadad would need move to Cat. Baghdad Governorate.",0,0,0,0,0,0
40,""" 

  
 ==Agia Sofia== 

 I find it hard to believe that an intelligent person could be making such asinine edits. Of course Agia Sofia could mean """"Saint Sophia'', but the fact is that it doesn't. Sophia is a very minor saint and I have never seen it suggested that the basilica was named for her. Its name is the Church of the Holy Wisdom and that's all that needs to be said.  """,0,0,0,0,0,0
41,""" 
 ::::And your edit is grammatically incorrect (what the hell is a """"Chinese Communists propaganda film""""?) in the first place. I'm not going to do anything, just in case I become accused of edit warring. Find a better way to word the lede.  | —  email """,0,0,0,0,0,0
42,"Please stop. If you continue to vandalise the other pages, as you did to Claudette Colbert, you will be blocked.

Colbert had two husbands. She divorced the first husband immediately. She lost the second husband. Therefore, she was a widow.
Spouse(s), Norman Foster (1928-1935), 
Dr. Joel Pressman (1935 – his death in 1968),
She was interred beside her second husband.
 
Because it erased a public fact for a personal thought, is not it destruction?",0,0,0,0,0,0
43,"""

 F*** OFF! 

THERE F***ING IS A BLU-RAY VERSION OF """"Fantasia"""" COMING OUT, NOW F*** OFF AND LEAVE ME ALONE! YOU'RE A F***ING BRITISH GUY WHO DOESN'T GET ANYTHING THAT GOES ON IN AMERICA!  """,1,0,1,0,0,0
44,"::Gniniv says he's retired. We shall see - there was a possibility he would have ended up banned (see the discussion at ANI). Funny, the quote from from someone described as an anti-Creationist.",0,0,0,0,0,0
45,""" November 2005 (UTC)

Sigh, if there is a dispute over whether the dispute is active then clearly there is a dispute. Also note proponents of """"conspiracy theory"""" (aka propagandists) have so far refused to debate.  T 01:25, 24""",0,0,0,0,0,0
46,"Stamp Act 

I have been working on a revision of this article for a while and probably should have noted that on the article's discussion page.  I am about ready to add what would be a major revision but I noticed that you were in the process today of making improvements.  Please check out what I've done so far at",0,0,0,0,0,0
47,"Hip Hop is dead 

Hip Hop is dead because they don't,only talk about money,cars and other things.Crunk kills hip hop and the south.That ain't hip hop

link title",0,0,0,0,0,0
48,""" 
 ::I agree with Ernest the Sheep and I think that the repeated reversals by  were not well considered. Hammond, according to her own words, """"was conceived in England, born in New Zealand, and raised in Australia."""" This is properly reflected in the body of her article; that she was born in New Zealand, 6 months before she and her mother followed her father, who had left for Sydney even earlier, does not belong in the lead (or be the basis for any categorisation, which thankfully it currently is not).    """,0,0,0,0,0,0
49,"==Ragweed== 
 Zwobot just added a bunch of interwiki links that had been removed manually recently. Some of the articles (e.g. de:Beifu?blattriges Traubenkraut) are on the species Ambrosia artemisiifolia while en:Ragweed is about the genus Ambrosia. The bots are really cool, but once we have some wrong interwiki links they propagate quickly and they are hard to get rid of. Kinda like ragweed, actually -).",0,0,0,0,0,0
